Frame #: 31, Time: 1024.0, Tracker ID: 2, Class: person,  Coordinates: (388, 0, 1253, 720), Centroids: (1014.5, 360.0)
Frame #: 31, Time: 1024.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 630), Centroids: (709.5, 883.0)
Frame #: 31, Time: 1024.0, Tracker ID: 2, Class: person,  Coordinates: (388, 0, 1253, 720), Centroids: (1014.5, 360.0)
Frame #: 31, Time: 1024.0, Tracker ID: 3, Class: knife,  Coordinates: (73, 499, 484, 605), Centroids: (315.0, 801.5)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 643, 630), Centroids: (708.5, 883.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 643, 630), Centroids: (708.5, 883.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 2, Class: person,  Coordinates: (399, 0, 1265, 720), Centroids: (1031.5, 360.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 643, 630), Centroids: (708.5, 883.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 2, Class: person,  Coordinates: (399, 0, 1265, 720), Centroids: (1031.5, 360.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 3, Class: knife,  Coordinates: (72, 497, 482, 604), Centroids: (313.0, 799.0)
Frame #: 33, Time: 1088.1000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 33, Time: 1088.1000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 33, Time: 1088.1000000000001, Tracker ID: 2, Class: person,  Coordinates: (402, 0, 1270, 720), Centroids: (1037.0, 360.0)
Frame #: 34, Time: 1136.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 34, Time: 1136.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 34, Time: 1136.1333333333334, Tracker ID: 2, Class: person,  Coordinates: (409, 0, 1277, 720), Centroids: (1047.5, 360.0)
Frame #: 35, Time: 1168.0666666666668, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 648, 631), Centroids: (708.0, 883.5)
Frame #: 35, Time: 1168.0666666666668, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 648, 631), Centroids: (708.0, 883.5)
Frame #: 35, Time: 1168.0666666666668, Tracker ID: 2, Class: person,  Coordinates: (413, 0, 1280, 720), Centroids: (1053.0, 360.0)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 647, 631), Centroids: (707.5, 883.5)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 647, 631), Centroids: (707.5, 883.5)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 2, Class: person,  Coordinates: (419, 0, 1285, 720), Centroids: (1061.5, 360.0)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 647, 631), Centroids: (707.5, 883.5)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 2, Class: person,  Coordinates: (419, 0, 1285, 720), Centroids: (1061.5, 360.0)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 9, Class: knife,  Coordinates: (93, 521, 373, 592), Centroids: (279.5, 817.0)
Frame #: 37, Time: 1232.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 646, 631), Centroids: (708.0, 883.5)
Frame #: 37, Time: 1232.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 646, 631), Centroids: (708.0, 883.5)
